Time,A0
0,152
10,153
20,152
30,152
40,152
51,152
62,152
72,152
82,152
93,151
103,152
113,153
123,153
135,151
145,152
155,152
165,152
176,152
187,152
197,154
207,152
218,153
228,152
238,152
249,153
260,152
270,152
280,152
290,152
302,152
312,152
322,152
332,153
343,152
353,153
364,151
374,152
385,153
395,154
405,152
416,152
427,152
437,152
447,152
457,152
467,152
479,152
489,153
499,153
509,152
520,152
530,153
541,153
551,152
562,152
572,152
582,152
593,152
604,152
614,151
624,153
634,152
645,152
656,152
666,152
676,152
687,152
697,152
708,153
718,152
729,152
739,151
749,152
759,152
771,152
781,153
791,152
801,152
812,152
823,152
833,152
843,152
854,153
864,152
874,153
885,152
896,152
906,152
916,152
926,152
937,152
948,152
958,152
968,152
978,152
989,151
1000,151
1010,152
1020,151
1031,152
1041,152
1052,152
1062,152
1073,153
1083,151
1094,152
1104,152
1115,152
1125,152
1135,152
1146,152
1157,152
1167,152
1177,152
1188,152
1199,152
1209,153
1219,152
1229,152
1241,152
1251,153
1261,153
1271,152
1283,153
1293,152
1303,152
1313,152
1324,152
1335,152
1345,152
1355,153
1366,152
1377,152
1387,152
1397,152
1408,152
1418,152
1429,152
1439,151
1449,152
1460,152
1471,152
1481,153
1491,152
1502,153
1512,152
1523,152
1533,152
1544,153
1554,153
1565,152
1575,153
1586,152
1596,152
1606,153
1617,153
1628,152
1638,152
1648,152
1659,153
1670,151
1680,152
1690,152
1700,152
1712,152
1722,153
1732,153
1742,153
1754,152
1764,152
1774,152
1784,152
1795,152
1806,153
1816,152
1826,153
1837,153
1848,152
1858,152
1868,152
1879,152
1889,153
1900,151
1910,153
1921,152
1931,153
1942,152
1952,152
1963,153
1973,153
1983,153
1994,152
2004,151
2015,152
2025,146
2036,151
2046,150
2057,150
2067,150
2077,150
2088,150
2099,150
2109,150
2119,150
2130,150
2141,149
2151,150
2161,149
2171,150
2183,151
2193,150
2203,147
2213,148
2225,148
2235,148
2245,147
2255,147
2266,147
2277,147
2287,148
2297,147
2308,145
2319,148
2329,147
2339,145
2350,145
2360,144
2371,146
2381,146
2392,148
2402,145
2413,145
2423,145
2434,145
2444,141
2454,144
2465,143
2476,143
2486,143
2496,144
2507,144
2518,142
2528,143
2538,143
2548,143
2560,143
2570,143
2580,143
2590,143
2601,143
2612,142
2622,143
2632,143
2642,144
2654,143
2664,143
2674,143
2684,143
2696,143
2706,143
2716,144
2726,142
2737,143
2748,144
2758,143
2768,143
2779,142
2790,143
2800,144
2810,143
2821,143
2831,144
2842,144
2852,143
2863,143
2873,143
2884,143
2894,143
2905,144
2915,144
2925,144
2936,144
2947,143
2957,144
2967,143
2978,143
2989,143
2999,143
3009,142
3019,143
3031,144
3041,144
3051,143
3061,143
3073,143
3083,144
3093,144
3103,143
3113,143
3125,143
3135,145
3145,143
3155,144
3167,143
3177,144
3187,143
3197,143
3208,144
3219,144
3229,143
3239,143
3250,143
3261,143
3271,143
3281,144
3292,144
3302,143
3313,143
3323,143
3334,143
3344,143
3355,144
3365,144
3376,143
3386,144
3396,143
3407,143
3418,144
3428,143
3438,143
3449,144
3460,143
3470,143
3480,144
3490,142
3502,143
3512,144
3522,144
3532,143
3544,144
3554,142
3564,143
3574,143
3585,143
3596,142
3606,144
3616,143
3627,144
3638,144
3648,143
3658,144
3668,144
3679,143
3690,143
3700,144
3710,143
3721,144
3732,143
3742,143
3752,143
3763,144
3773,143
3784,144
3794,143
3805,143
3815,143
3826,144
3836,143
3847,144
3857,144
3867,142
3878,124
3889,126
3899,124
3909,126
3920,125
3931,125
3941,126
3951,126
3961,124
3973,125
3983,125
3993,124
4003,126
4015,124
4025,125
4035,111
4045,110
4056,111
4067,110
4077,110
4087,111
4098,112
4109,110
4119,111
4129,111
4140,110
4150,110
4161,111
4171,111
4182,112
4192,111
4203,110
4213,111
4224,111
4234,112
4244,111
4255,99
4265,99
4276,99
4286,99
4296,99
4307,99
