Time,A0
0,456
10,455
20,456
30,455
40,456
51,456
62,455
72,456
82,456
93,456
103,455
113,456
123,456
135,456
145,455
155,455
165,455
176,455
187,456
197,455
207,456
218,455
228,455
238,455
249,455
260,456
270,455
280,456
290,455
302,455
312,455
322,455
332,455
343,455
353,455
364,455
374,456
385,456
395,455
405,455
416,455
427,455
437,455
447,455
457,456
467,455
479,455
489,455
499,455
509,455
520,455
530,457
541,455
551,455
562,455
572,455
582,455
593,455
604,455
614,455
624,455
634,455
645,455
656,455
666,455
676,455
687,455
697,455
708,455
718,455
729,455
739,455
749,455
759,455
771,455
781,455
791,455
801,455
812,455
823,455
833,455
843,455
854,455
864,455
874,455
885,455
896,455
906,456
916,455
926,455
937,455
948,455
958,455
968,455
978,455
989,455
1000,455
1010,455
1020,455
1031,455
1041,456
1052,455
1062,455
1073,455
1083,455
1094,455
1104,455
1115,455
1125,455
1135,455
1146,455
1157,455
1167,455
1177,455
1188,455
1199,455
1209,455
1219,455
1229,455
1241,456
1251,455
1261,455
1271,455
1283,455
1293,455
1303,455
1313,455
1324,455
1335,455
1345,455
1355,455
1366,455
1377,455
1387,455
1397,455
1408,455
1418,455
1429,456
1439,455
1449,455
1460,455
1471,455
1481,455
1491,455
1502,456
1512,455
1523,455
1533,455
1544,455
1554,455
1565,455
1575,456
1586,455
1596,455
1606,456
1617,455
1628,455
1638,455
1648,455
1659,455
1670,455
1680,455
1690,455
1700,455
1712,455
1722,455
1732,455
1742,455
1754,455
1764,455
1774,455
1784,455
1795,455
1806,456
1816,455
1826,455
1837,455
1848,455
1858,455
1868,455
1879,455
1889,455
1900,456
1910,455
1921,455
1931,455
1942,455
1952,455
1963,455
1973,455
1983,455
1994,455
2004,455
2015,455
2025,455
2036,455
2046,455
2057,455
2067,455
2077,455
2088,455
2099,455
2109,455
2119,455
2130,455
2141,455
2151,455
2161,455
2171,455
2183,455
2193,455
2203,455
2213,455
2225,455
2235,455
2245,455
2255,455
2266,455
2277,455
2287,455
2297,455
2308,455
2319,455
2329,455
2339,455
2350,455
2360,455
2371,455
2381,455
2392,455
2402,455
2413,455
2423,455
2434,455
2444,455
2454,455
2465,455
2476,455
2486,455
2496,455
2507,455
2518,455
2528,455
2538,455
2548,455
2560,455
2570,455
2580,455
2590,455
2601,455
2612,455
2622,455
2632,455
2642,455
2654,456
2664,455
2674,455
2684,455
2696,455
2706,456
2716,455
2726,455
2737,455
2748,455
2758,456
2768,455
2779,455
2790,456
2800,455
2810,456
2821,456
2831,455
2842,457
2852,456
2863,455
2873,457
2884,456
2894,456
2905,457
2915,456
2925,458
2936,457
2947,456
2957,458
2967,457
2978,458
2989,458
2999,457
3009,459
3019,459
3031,458
3041,460
3051,459
3061,459
3073,461
3083,459
3093,459
3103,460
3113,458
3125,461
3135,460
3145,459
3155,460
3167,460
3177,460
3187,461
3197,460
3208,462
3219,462
3229,461
3239,461
3250,461
3261,461
3271,462
3281,461
3292,463
3302,462
3313,461
3323,463
3334,461
3344,463
3355,463
3365,463
3376,463
3386,462
3396,462
3407,464
3418,464
3428,463
3438,464
3449,462
3460,464
3470,464
3480,463
3490,465
3502,465
3512,464
3522,465
3532,465
3544,465
3554,465
3564,463
3574,466
3585,466
3596,465
3606,467
3616,465
3627,465
3638,465
3648,465
3658,466
3668,466
3679,466
3690,467
3700,466
3710,466
3721,467
3732,467
3742,468
3752,467
3763,467
3773,468
3784,467
3794,468
3805,468
3815,466
3826,469
3836,467
3847,468
3857,469
3867,468
3878,469
3889,469
3899,467
3909,470
3920,469
3931,468
3941,470
3951,468
3961,469
3973,469
3983,469
3993,470
4003,469
4015,469
4025,470
4035,469
4045,469
4056,470
4067,469
4077,471
4087,470
4098,469
4109,471
4119,470
4129,469
4140,470
4150,470
4161,472
4171,470
4182,470
4192,471
4203,470
4213,470
4224,471
4234,471
4244,471
4255,471
4265,471
4276,472
4286,471
4297,471
4307,472
4318,471
4328,471
4338,472
4349,470
4360,472
4370,472
4380,471
4391,472
4402,472
4412,472
4422,473
4432,472
4444,473
4454,473
4464,472
4474,473
4486,472
4496,473
4506,473
4516,473
4527,473
4538,473
4548,473
4558,473
4569,473
4580,473
4590,474
4600,473
4611,472
4621,473
4632,473
4642,474
4653,473
4663,473
4674,475
4684,473
4695,474
4705,473
4715,473
4726,474
4737,474
4747,473
4757,474
4768,474
4779,474
4789,474
4799,473
4809,474
4820,474
4831,474
4841,474
